,tweet_id,retweet_count,favorite_count
83,876484053909872640,2371,18519
84,876120275196170240,4647,27562
85,875747767867523072,4251,24873
86,875144289856114688,4878,21645
87,875097192612077568,5988,27076
88,875021211251597312,4674,25164
89,874680097055178752,4605,27504
90,874434818259525634,14610,0
91,874296783580663808,4078,25754
92,874057562936811520,3924,22386
93,874012996292530176,10332,34200
94,873580283840344065,3916,23933
95,873337748698140672,1578,0
96,873213775632977920,1578,7152
97,872967104147763200,5374,27075
98,872820683541237760,3675,14567
99,872620804844003328,3679,20582
100,872486979161796608,8970,40268
101,872261713294495745,6294,33872
102,872122724285648897,8089,34127
103,871879754684805121,11138,37642
104,871762521631449091,3465,20105
105,871515927908634625,3445,20049
106,871166179821445120,5689,0
107,871102520638267392,5490,20765
108,871032628920680449,3813,22492
109,870804317367881728,6199,33374
110,870726314365509632,3,119
111,870656317836468226,2647,12334
112,870374049280663552,26215,82213
113,870308999962521604,4157,21713
114,870063196459192321,8360,36474
115,869772420881756160,10050,42199
116,869702957897576449,6364,28116
117,869596645499047938,3139,15914
118,869227993411051520,3798,20355
119,868880397819494401,14553,65440
120,868639477480148993,2107,0
121,868622495443632128,5406,26761
122,868552278524837888,2107,10117
123,867900495410671616,4203,24151
124,867774946302451713,7386,33969
125,867421006826221569,2528,16102
126,867072653475098625,121,0
127,867051520902168576,7930,32230
128,866720684873056260,4860,20090
129,866686824827068416,3522,19349
130,866450705531457537,35617,122413
131,866334964761202691,14610,52665
132,866094527597207552,8465,0
133,865718153858494464,5681,25680
134,865359393868664832,5060,26557
135,865006731092295680,7779,28095
136,864873206498414592,8823,32413
137,864279568663928832,3081,14681
138,864197398364647424,9072,30299
139,863907417377173506,4207,20725
140,863553081350529029,4243,15378
141,863471782782697472,2494,0
142,863432100342583297,5347,23965
143,863427515083354112,99,2280
144,863079547188785154,1119,8824
145,863062471531167744,2494,8578
146,862831371563274240,5172,19300
147,862722525377298433,3588,17192
148,862457590147678208,5045,20704
149,862096992088072192,23732,75139
150,861383897657036800,10906,36371
151,861288531465048066,4240,17334
152,861005113778896900,3881,16864
153,860981674716409858,2204,0
154,860924035999428608,840,0
155,860563773140209665,2204,7577
156,860524505164394496,5393,23857
157,860276583193509888,3553,18488
158,860184849394610176,5965,16867
159,860177593139703809,31569,0
160,859924526012018688,4191,19756
161,859851578198683649,3593,15572
162,859607811541651456,1612,18803
163,859196978902773760,30979,91053
164,859074603037188101,13947,34308
165,858860390427611136,8358,0
166,858843525470990336,3565,15737
167,858471635011153920,4979,21777
168,858107933456039936,3000,15934
169,857989990357356544,2655,16346
170,857746408056729600,10952,34772
171,857393404942143489,1690,6001
172,857263160327368704,4658,20318
173,857214891891077121,18,232
174,857062103051644929,177,0
175,857029823797047296,4132,19253
176,856602993587888130,11042,0
177,856543823941562368,2974,16536
178,856526610513747968,1942,12042
179,856330835276025856,702,0
180,856288084350160898,17,527
181,856282028240666624,6532,28215
182,855862651834028034,28,352
183,855860136149123072,1066,5135
184,855857698524602368,2188,12077
185,855851453814013952,18323,46285
186,855818117272018944,5622,27122
187,855459453768019968,8516,30547
188,855245323840757760,6206,0
189,855138241867124737,48,0
190,854732716440526848,6355,23357
191,854482394044301312,7153,30012
192,854365224396361728,4882,19356
193,854120357044912130,7812,32731
